,id,movieID,movie,release_date,release_month,release_year,season,production_budget,domestic_gross,worldwide_gross,ROI,inflation_ratio,PB_AI,DG_AI,runtime_minutes,genres,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
10,15,tt0398286,Tangled,2010-11-24,11,2010,Fall,260000000,200821936,586477240,0.7723920615384615,1.42,369200000.0,285167149.12,100.0,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,tt3498820,Captain America: Civil War,2016-05-06,5,2016,Spring,250000000,408084349,1140069413,1.632337396,1.3,325000000.0,530509653.70000005,147.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,18,tt2975590,Batman v Superman: Dawn of Justice,2016-03-25,3,2016,Spring,250000000,330360194,867500281,1.321440776,1.3,325000000.0,429468252.2,151.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,tt0903624,The Hobbit: An Unexpected Journey,2012-12-14,12,2012,Winter,250000000,303003568,1017003568,1.212014272,1.36,340000000.0,412084852.48,169.0,"Adventure,Family,Fantasy",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,21,tt1170358,The Hobbit: The Desolation of Smaug,2013-12-13,12,2013,Winter,250000000,258366855,960366855,1.03346742,1.34,335000000.0,346211585.70000005,161.0,"Adventure,Fantasy",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22,tt2310332,The Hobbit: The Battle of the Five Armies,2014-12-17,12,2014,Winter,250000000,255119788,945577621,1.020479152,1.32,330000000.0,336758120.16,144.0,"Adventure,Fantasy",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,23,tt4630562,The Fate of the Furious,2017-04-14,4,2017,Spring,250000000,225764765,1234846267,0.90305906,1.27,317500000.0,286721251.55,136.0,"Action,Crime,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,25,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-26,5,2017,Spring,230000000,172558876,788241137,0.7502559826086956,1.27,292100000.0,219149772.52,129.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,27,tt0848228,The Avengers,2012-05-04,5,2012,Spring,225000000,623279547,1517935897,2.77013132,1.36,306000000.0,847660183.9200001,143.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,29,tt0770828,Man of Steel,2013-06-14,6,2013,Summer,225000000,291045518,667999518,1.2935356355555556,1.34,301500000.0,390000994.12,143.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
